battle,country,result,source_url
Battle of Ujście,Sweden,win,https://en.wikipedia.org/wiki/Battle_of_Ujście
Conquest of Uppsala,Sweden,win,https://en.wikipedia.org/wiki/Conquest_of_Uppsala
Battle of Uppsala,Sweden,win,https://en.wikipedia.org/wiki/Battle_of_Uppsala
Battle of Uransari,Sweden,win,https://en.wikipedia.org/wiki/Battle_of_Uransari
Battles of Usedom,Sweden,win,https://en.wikipedia.org/wiki/Battles_of_Usedom
Battle of Uttismalm,Sweden,win,https://en.wikipedia.org/wiki/Battle_of_Uttismalm
Battle of Vaasa,Sweden,win,https://en.wikipedia.org/wiki/Battle_of_Vaasa
Battle of Valkeala,Sweden,win,https://en.wikipedia.org/wiki/Battle_of_Valkeala
Battle of Vänersborg,Sweden,win,https://en.wikipedia.org/wiki/Battle_of_Vänersborg
Battle of Varja,Sweden,other,https://en.wikipedia.org/wiki/Battle_of_Varja
Battle of Västerås,Sweden,win,https://en.wikipedia.org/wiki/Battle_of_Västerås
Battle of Villmanstrand,Sweden,win,https://en.wikipedia.org/wiki/Battle_of_Villmanstrand
Battle of Vilnius (1702),Sweden,win,https://en.wikipedia.org/wiki/Battle_of_Vilnius_(1702)
Expedition to Vyborg,Sweden,win,https://en.wikipedia.org/wiki/Expedition_to_Vyborg
Battle of Walk,Sweden,win,https://en.wikipedia.org/wiki/Battle_of_Walk
Battle of Wallhof,Sweden,win,https://en.wikipedia.org/wiki/Battle_of_Wallhof
Battle of Warka,Sweden,win,https://en.wikipedia.org/wiki/Battle_of_Warka
Battle of Warsaw (1656),Sweden,win,https://en.wikipedia.org/wiki/Battle_of_Warsaw_(1656)
Battle of Warsaw (1705),Sweden,win,https://en.wikipedia.org/wiki/Battle_of_Warsaw_(1705)
Battle of Weissenstein,Sweden,win,https://en.wikipedia.org/wiki/Battle_of_Weissenstein
Battles of Wenden (1577–1578),Sweden,win,https://en.wikipedia.org/wiki/Battles_of_Wenden_(1577–1578)
Battle of Wenden (1601),Sweden,win,https://en.wikipedia.org/wiki/Battle_of_Wenden_(1601)
Battle of Wenden (1626),Sweden,win,https://en.wikipedia.org/wiki/Battle_of_Wenden_(1626)
Battle of Wesenberg (1704),Sweden,win,https://en.wikipedia.org/wiki/Battle_of_Wesenberg_(1704)
Battle of Wismar (1711),Sweden,win,https://en.wikipedia.org/wiki/Battle_of_Wismar_(1711)
Battle of Wojnicz,Sweden,win,https://en.wikipedia.org/wiki/Battle_of_Wojnicz
Wrecking of the Kattan,Sweden,win,https://en.wikipedia.org/wiki/Wrecking_of_the_Kattan
Battle of Żarnów,Sweden,win,https://en.wikipedia.org/wiki/Battle_of_Żarnów
Category:Naval battles involving Sweden,Sweden,unknown,https://en.wikipedia.org/wiki/Category:Naval_battles_involving_Sweden
Category:Sieges involving Sweden,Sweden,unknown,https://en.wikipedia.org/wiki/Category:Sieges_involving_Sweden
Category:Battles involving the Swedish Empire,Sweden,unknown,https://en.wikipedia.org/wiki/Category:Battles_involving_the_Swedish_Empire
Category:Battles involving the Kalmar Union,Sweden,unknown,https://en.wikipedia.org/wiki/Category:Battles_involving_the_Kalmar_Union
Category:Battles of the Barbary Wars,Sweden,unknown,https://en.wikipedia.org/wiki/Category:Battles_of_the_Barbary_Wars
Category:Battles of the Pomeranian War,Sweden,unknown,https://en.wikipedia.org/wiki/Category:Battles_of_the_Pomeranian_War
Category:Battles of the Dano-Swedish wars,Sweden,unknown,https://en.wikipedia.org/wiki/Category:Battles_of_the_Dano-Swedish_wars
Category:Battles of the Napoleonic Wars involving Sweden,Sweden,unknown,https://en.wikipedia.org/wiki/Category:Battles_of_the_Napoleonic_Wars_involving_Sweden
Category:Battles of the Northern Seven Years' War,Sweden,unknown,https://en.wikipedia.org/wiki/Category:Battles_of_the_Northern_Seven_Years'_War
Category:Battles of the Russo-Swedish War (1788–1790),Sweden,unknown,https://en.wikipedia.org/wiki/Category:Battles_of_the_Russo-Swedish_War_(1788–1790)
Category:Swedish battle stubs,Sweden,unknown,https://en.wikipedia.org/wiki/Category:Swedish_battle_stubs
List of battles and sieges involving Norway,Norway,unknown,https://en.wikipedia.org/wiki/List_of_battles_and_sieges_involving_Norway
Battle of 839,Norway,win,https://en.wikipedia.org/wiki/Battle_of_839
Battle of Anglesey Sound,Norway,win,https://en.wikipedia.org/wiki/Battle_of_Anglesey_Sound
Expulsion of Danes from Balasore,Norway,win,https://en.wikipedia.org/wiki/Expulsion_of_Danes_from_Balasore
Battle of Basing,Norway,win,https://en.wikipedia.org/wiki/Battle_of_Basing
Battle of Bergen (1135),Norway,win,https://en.wikipedia.org/wiki/Battle_of_Bergen_(1135)
Battle of Chippenham,Norway,win,https://en.wikipedia.org/wiki/Battle_of_Chippenham
Battle of Corbridge,Norway,win,https://en.wikipedia.org/wiki/Battle_of_Corbridge
Battle of Fimreite,Norway,win,https://en.wikipedia.org/wiki/Battle_of_Fimreite
Battle of Fjaler,Norway,other,https://en.wikipedia.org/wiki/Battle_of_Fjaler
Battle of Florvåg,Norway,win,https://en.wikipedia.org/wiki/Battle_of_Florvåg
Battle of Formentera (1109),Norway,win,https://en.wikipedia.org/wiki/Battle_of_Formentera_(1109)
Battle of Fyrileiv,Norway,win,https://en.wikipedia.org/wiki/Battle_of_Fyrileiv
Battle of Grimstad Bay,Norway,win,https://en.wikipedia.org/wiki/Battle_of_Grimstad_Bay
Battle of Hakadal,Norway,win,https://en.wikipedia.org/wiki/Battle_of_Hakadal
Battle of Hjärtum,Norway,other,https://en.wikipedia.org/wiki/Battle_of_Hjärtum
Battle of Hjörungavágr,Norway,win,https://en.wikipedia.org/wiki/Battle_of_Hjörungavágr
Battle of Holmengrå,Norway,win,https://en.wikipedia.org/wiki/Battle_of_Holmengrå
Battle of Jacobshavn,Norway,win,https://en.wikipedia.org/wiki/Battle_of_Jacobshavn
Battle of Nesjar,Norway,win,https://en.wikipedia.org/wiki/Battle_of_Nesjar
Battle of Niså,Norway,win,https://en.wikipedia.org/wiki/Battle_of_Niså
Battle of Orkdal,Norway,win,https://en.wikipedia.org/wiki/Battle_of_Orkdal
